epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1766.57,0.68698,0.48347,1.15647,0.94219,0.90701,0.95219,0.78945,0.75993,0.43665,1.283,0.00109683,0.00109683,0.00109683
62,1795.21,0.6756,0.47723,1.16198,0.95172,0.90066,0.9532,0.79465,0.75126,0.43267,1.26103,0.00108033,0.00108033,0.00108033
63,1823.91,0.67549,0.47246,1.1543,0.95598,0.89236,0.95848,0.80523,0.72844,0.41651,1.25182,0.00106374,0.00106374,0.00106374
64,1852.97,0.67277,0.47694,1.15182,0.96159,0.91509,0.95913,0.80151,0.7354,0.42043,1.25036,0.00104705,0.00104705,0.00104705
65,1881.87,0.65925,0.44843,1.14009,0.95922,0.90647,0.95667,0.80678,0.72773,0.40707,1.24005,0.00103026,0.00103026,0.00103026
66,1910.67,0.64638,0.4468,1.13578,0.9537,0.92959,0.96473,0.81305,0.70674,0.39712,1.23201,0.0010134,0.0010134,0.0010134
67,1939.57,0.662,0.45644,1.14732,0.91186,0.91305,0.93772,0.78243,0.73577,0.43189,1.25229,0.000996456,0.000996456,0.000996456
68,1968.38,0.64006,0.45038,1.13509,0.93456,0.93396,0.95961,0.80563,0.73166,0.41824,1.24721,0.000979447,0.000979447,0.000979447
69,1997.38,0.64717,0.45397,1.1398,0.94334,0.92857,0.95615,0.80646,0.72596,0.40828,1.25657,0.000962378,0.000962378,0.000962378
70,2026.18,0.63832,0.43576,1.1207,0.93129,0.93531,0.96151,0.80226,0.74718,0.41335,1.27373,0.000945256,0.000945256,0.000945256
71,2055.01,0.64632,0.45301,1.13655,0.92778,0.93134,0.96406,0.8062,0.72706,0.41096,1.24708,0.000928088,0.000928088,0.000928088
72,2083.87,0.63512,0.43775,1.12706,0.94401,0.92708,0.96368,0.80642,0.72022,0.40699,1.24654,0.000910883,0.000910883,0.000910883
73,2112.98,0.6256,0.44191,1.12862,0.95614,0.91564,0.95669,0.80116,0.73843,0.40925,1.26069,0.000893648,0.000893648,0.000893648
74,2142.21,0.63231,0.44335,1.13387,0.95032,0.92992,0.96767,0.80757,0.7125,0.38713,1.24073,0.000876389,0.000876389,0.000876389
75,2171.18,0.61739,0.43231,1.12123,0.93148,0.91828,0.96204,0.81203,0.70398,0.41011,1.23597,0.000859116,0.000859116,0.000859116
76,2199.87,0.60997,0.43139,1.1207,0.94544,0.94368,0.96617,0.81079,0.71558,0.40625,1.23855,0.000841835,0.000841835,0.000841835
77,2228.71,0.6157,0.42747,1.12179,0.93288,0.94609,0.96552,0.81597,0.70385,0.38208,1.24123,0.000824554,0.000824554,0.000824554
78,2257.71,0.59412,0.4194,1.10741,0.93575,0.94957,0.96801,0.81897,0.69238,0.3822,1.22263,0.000807281,0.000807281,0.000807281
79,2286.61,0.61291,0.42001,1.11856,0.9418,0.95148,0.96844,0.81751,0.70663,0.36969,1.23223,0.000790022,0.000790022,0.000790022
80,2315.31,0.60014,0.41526,1.11208,0.94176,0.92588,0.95692,0.80752,0.69818,0.39358,1.21899,0.000772787,0.000772787,0.000772787
